symbol,n,min_diff,m_hours,subperiod,n_obs,n_eff,mean_fade,std_fade,t_stat_raw,t_stat_adj,mean_mae
BTC-USDT-SWAP,2,0.0075,8,3,3887,850,-0.0001234289137557286,0.017140422335822022,-0.4489548408110775,-0.20994466893576313,0.013878332870334707
BTC-USDT-SWAP,2,0.0075,8,all,26438,3874,-0.00011167719017187664,0.026848609932332675,-0.6763273843090359,-0.25889429553294485,0.020266369145543417
BTC-USDT-SWAP,2,0.0075,10,0,7252,815,-0.0001462098485967852,0.03526495757157332,-0.3530710909037941,-0.11836193762472193,0.02653397614522009
BTC-USDT-SWAP,2,0.0075,10,1,9654,904,-9.667082410651675e-05,0.029579949385436146,-0.32110838153455407,-0.09826123303986137,0.023986936427931798
BTC-USDT-SWAP,2,0.0075,10,2,5645,787,-7.158850186204707e-05,0.02579688500737178,-0.20850092180451874,-0.07785085246144212,0.01991496596416665
BTC-USDT-SWAP,2,0.0075,10,3,3886,727,-9.773937292595998e-05,0.01883095815897679,-0.3235553073869948,-0.13994723920729701,0.015235670516486737
BTC-USDT-SWAP,2,0.0075,10,all,26437,3233,-0.00010506132519384709,0.029236781080620108,-0.5842778253315241,-0.20432248925617713,0.022529790739311488
BTC-USDT-SWAP,2,0.0075,12,0,7252,701,-6.5946111260999646e-06,0.03741172664089852,-0.015011024586667214,-0.0046670284417131966,0.028757841434151717
BTC-USDT-SWAP,2,0.0075,12,1,9654,769,-0.00012047070064525262,0.0321727009899267,-0.36791505608872604,-0.10383818378839847,0.026101305005706905
BTC-USDT-SWAP,2,0.0075,12,2,5645,670,-0.00011290302992415278,0.027638227136815765,-0.30692155405913046,-0.10573842002265386,0.021559132086101596
BTC-USDT-SWAP,2,0.0075,12,3,3882,627,-0.00017714388083394888,0.019813926985571894,-0.5570361264165565,-0.22386663278609698,0.016468525736984506
BTC-USDT-SWAP,2,0.0075,12,all,26433,2767,-9.593532377085385e-05,0.031348485134144365,-0.4975482630944225,-0.16097801433986525,0.024445427387832636
BTC-USDT-SWAP,2,0.0075,16,0,7252,543,-0.0001075306980531857,0.04077273429078285,-0.22459057438579244,-0.061455752801386036,0.032776417980516934
BTC-USDT-SWAP,2,0.0075,16,1,9654,587,-0.00011398984653792546,0.037321801411637025,-0.30009393518563726,-0.07399844982948142,0.03001288383839142
BTC-USDT-SWAP,2,0.0075,16,2,5645,528,-0.00011068763783799206,0.03151357526929034,-0.2638963692069745,-0.08070833782890892,0.024596061758907713
BTC-USDT-SWAP,2,0.0075,16,3,3877,499,-0.00011332560983799604,0.022523967184085444,-0.31327885250904414,-0.11239149592275675,0.01859754188266357
